Ether / IP / UDP 192.168.72.158:37903 > 34.117.188.166:https / Raw
Ether / IP / TCP 192.168.72.158:42088 > 112.28.235.27:https PA / Raw
Ether / IP / TCP 112.28.235.27:https > 192.168.72.158:42088 PA / Raw
Ether / IP / TCP 192.168.72.158:42088 > 112.28.235.27:https PA / Raw
Ether / IP / TCP 192.168.72.158:42088 > 112.28.235.27:https PA / Raw
Ether / IP / TCP 112.28.235.27:https > 192.168.72.158:42088 PA / Raw
Ether / IP / TCP 192.168.72.158:42088 > 112.28.235.27:https PA / Raw
Ether / IP / TCP 112.28.235.27:https > 192.168.72.158:42088 PA / Raw
Ether / IP / TCP 192.168.72.158:42088 > 112.28.235.27:https PA / Raw
Ether / IP / TCP 112.28.235.27:https > 192.168.72.158:42088 PA / Raw
Ether / IP / TCP 112.28.235.27:https > 192.168.72.158:42088 PA / Raw
